codigo_ibge,longitude,latitude,area_km2,altitude_media_m,altitude_minima_m,amplitude_altitude_m,declividade_m_por_km,celulas_de_relevo,distancia_rio_km,distancia_rio_grande_km
3166956,-42.86076924513725,-15.857363934736819,539.9359740419313,808.6017456054688,553.0,737.0,38.334668123029594,113,98.18456883727094,150.33992099858537
3167004,-44.53759659124944,-21.831432520449635,220.47735433839262,1062.8043212890625,970.0,227.0,21.82352435730408,46,30.983317485752256,221.06785094761835
3167103,-43.40225342855248,-18.536177257790687,1218.957604574971,971.1102905273438,659.0,975.0,34.82192325083741,263,26.787973721305928,185.6206560568827
3167202,-44.25502947195496,-19.437938559193874,530.6939472295344,789.913818359375,656.0,328.0,17.498482984206756,116,28.631368970980542,93.9454984515336
3167301,-43.203674002961534,-21.143231975368064,155.69082562904805,694.9117431640625,521.0,340.0,37.06643249221759,34,42.99867401663422,277.394279585193
3167400,-45.80796348462745,-22.036898849195456,316.390473484993,901.5507202148438,827.0,318.0,22.74404078220074,69,46.63448122455716,187.9669888056994
3167509,-43.29281690577355,-21.963729315164763,129.83714795392007,506.0,365.0,343.0,26.577704978283194,29,18.739328522513002,317.63070740797565
3167608,-41.9881858599752,-19.99799745968054,472.02745979558676,861.6826782226562,502.0,830.0,43.28383242300223,104,56.25892970364808,338.35226560809303
3167707,-42.14747233029389,-19.217780247234117,200.29877599701285,280.2272644042969,188.0,292.0,27.752046686139217,44,10.975142822435222,307.64638143341625
3167806,-45.025595124251836,-22.026208035576293,188.37831700313836,970.9755859375,868.0,279.0,25.433302160509072,41,59.66560466582828,212.1781099922952
3167905,-43.25716847444442,-21.367454911253514,205.5239897472784,559.9545288085938,442.0,271.0,19.46262898499001,44,68.19246527563509,283.8398663187453
3168002,-42.05645027183253,-15.824761907329258,1207.485039355699,810.560302734375,555.0,423.0,16.21479188219336,257,88.63461844057402,226.2303743521162
3168051,-41.61176716853595,-19.73911012991902,188.91334532853216,365.3500061035156,208.0,478.0,48.079316204612844,40,61.53389921227769,369.8481233814463
3168101,-46.86650367394732,-19.915637570424085,1161.7044173041359,1157.70751953125,977.0,365.0,20.04468874531147,253,45.75271527005011,59.063773939854556
3168200,-46.15981406848648,-19.875953466407132,409.0509683769196,933.5494384765625,665.0,594.0,25.188894954103006,91,42.2651171121371,42.2651171121371
3168309,-43.684123681687204,-19.635124480143745,336.3895785873756,868.45068359375,689.0,741.0,32.496252034042854,71,11.97669276191343,157.54896640454595
